Epoch,Model1_acc,Model2_acc,Model3_acc,Model4_acc,Model5_acc,Model6_acc
,0.084269663,0.08988764,0.095505618,0.172752809,0.095505618,0.132022472
,0.087078652,0.088483146,0.092696629,0.165730337,0.094101124,0.127808989
,0.077247191,0.088483146,0.087078652,0.168539326,0.088483146,0.125
,0.078651685,0.087078652,0.085674157,0.16011236,0.081460674,0.117977528
,0.075842697,0.085674157,0.085674157,0.150280899,0.084269663,0.116573034
,0.068820225,0.082865169,0.081460674,0.148876404,0.077247191,0.117977528
,0.070224719,0.078651685,0.074438202,0.143258427,0.077247191,0.115168539
,0.066011236,0.08005618,0.071629213,0.140449438,0.074438202,0.103932584
,0.06741573,0.078651685,0.075842697,0.136235955,0.070224719,0.099719101
,0.06741573,0.073033708,0.06741573,0.140449438,0.06741573,0.096910112
,0.063202247,0.073033708,0.066011236,0.134831461,0.064606742,0.095505618
,0.064606742,0.071629213,0.058988764,0.136235955,0.064606742,0.096910112
,0.056179775,0.070224719,0.05758427,0.129213483,0.05758427,0.087078652
